Tamanho, 35000
Tempos
2.640774
2.646048
2.649965
2.642239
2.637628
2.643300
2.643255
2.657807
2.645262
2.657815
2.661501
2.632200
2.643159
2.653057
2.643775
2.645151
2.635190
2.633776
2.629405
2.645319
2.643221
2.650373
2.660370
2.637738
2.644530
2.641507
2.645551
2.631732
2.634920
2.640915
