Tamanho, 35000, Threads, 4
Tempos
1.668408
1.666441
1.667546
1.667165
1.668311
1.668206
1.668408
1.668500
1.667826
1.667615
1.667922
1.667825
1.671148
1.672995
1.669581
1.668201
1.670427
1.662751
1.662548
1.670919
1.667683
1.667570
1.668610
1.670808
1.668121
1.669029
1.670656
1.668347
1.670849
1.673284
