Tamanho, 35000, Threads, 8
Tempos
1.698705
1.698210
1.698589
1.697863
1.697814
1.697378
1.697839
1.698395
1.698507
1.697286
1.698302
1.698926
1.698686
1.697127
1.698923
1.697750
1.697276
1.697608
1.698378
1.696905
1.697020
1.698530
1.697954
1.698186
1.698450
1.697956
1.697902
1.697103
1.698475
1.697795
