Tamanho, 35000, Threads, 16
Tempos
1.700412
1.702039
1.701290
1.704602
1.702000
1.699147
1.699658
1.699941
1.699008
1.702621
1.703668
1.700912
1.704253
1.700790
1.701457
1.702986
1.703555
1.701643
1.701852
1.700054
1.703594
1.702306
1.702250
1.700932
1.702744
1.700693
1.700092
1.701557
1.701965
1.702627
